participant_id,image_id,correspondence,realism,creative,made_by,note
1,1,5,4,3,known,"Just turns red but cool it is the car only"
1,2,5,4,4,computer,"Nose changes i think"
1,3,5,4,4,known,"Nice change of wheels"
1,4,2,3,2,human,"Looks like completely different cars to me wouldnt see correspondence if not underneath eachother"
2,1,5,5,1,human,"Its just a car that turns red..."
2,2,5,4,5,human,
2,3,4,5,2,known,"Wheels changed, weird color on left one"
2,4,5,5,4,known,"Goes from a boring family car to a sporty one. cool stuff, especially like the hood, interesting a computer can do this."
3,1,3,2,2,known,
3,2,4,4,3,human,
3,3,3,2,3,computer,
3,4,4,4,3,known,
5,1,3,5,3,computer,
5,4,5,5,4,computer,
6,1,4,3,4,computer,
6,2,5,5,4,known,
6,3,5,5,4,known,
6,4,5,4,5,computer,
7,1,5,5,1,computer,
7,2,5,4,3,human,
7,3,4,5,3,known,"Different wheels, weird color on left one"
7,4,3,5,5,known,"Looks more sporty, cars are verry different but color and wheels is prtty consistent"
8,2,5,5,2,human,
8,3,4,5,3,computer,
9,1,5,4,2,computer,"3 of the 4 cars have their color changed thats why I rated it lower on the creativity scale"
9,2,4,4,3,known,"Dont really see a lot of difference"
9,3,5,4,4,computer,"Here a lot more has changed so I think it has been more creative"
9,4,4,5,4,known,
11,1,3,2,3,known,
11,2,5,5,1,human,"looks like a car you could buy, so not very creative in my opinion"
11,3,4,5,2,known,
11,4,4,3,2,computer,
12,1,4,4,3,known,
12,2,4,4,3,computer,
12,3,4,3,4,known,
12,4,3,4,3,human,
13,1,3,3,4,computer,
13,2,4,5,4,known,
13,3,3,4,4,known,
13,4,2,5,3,human,
15,1,3,4,3,computer,
15,2,2,3,3,known,
15,3,3,4,3,known,
15,4,2,2,3,human,
16,1,5,1,3,computer,
16,2,4,4,3,known,
16,3,5,5,4,known,
16,4,3,4,5,human,
17,1,4,2,3,human,
17,2,4,3,3,known,
17,3,4,4,3,computer,
17,4,3,3,4,known,
18,1,5,4,2,computer,
18,2,5,5,1,human,
18,3,4,4,3,known,
18,4,3,3,3,known,
19,3,5,1,3,computer,
20,1,4,4,2,computer,
20,2,3,3,2,known,
20,3,4,4,3,known,
20,4,2,4,3,human,
21,1,4,4,3,known,
21,2,5,3,3,computer,
21,3,4,5,4,known,
21,4,4,4,3,computer,
22,1,4,5,4,human,"If it is an AI, it fooled me well."
22,2,4,4,4,known,
22,3,5,5,3,known,
22,4,4,5,4,human,"If it is an AI, it fooled me well. The cars are lowered, and changed wheels and bumpers."
23,1,5,3,2,computer,
23,2,2,4,3,computer,
23,3,4,3,3,known,
23,4,2,2,2,known,
25,1,1,1,1,known,
25,2,5,4,4,human,
25,3,3,3,3,computer,
25,4,2,2,3,known,
26,1,4,5,3,known,
26,2,4,5,4,human,
26,3,5,4,2,known,
26,4,3,5,4,human,
29,1,5,5,2,known,
29,2,4,5,3,human,
29,3,5,4,3,known,
29,4,5,4,4,computer,
30,1,4,4,3,computer,
30,2,4,3,3,computer,
30,3,3,3,3,known,
30,4,3,4,3,known,
32,1,5,5,2,known,"Auto wordt rood. Goed dat het enkel de wagen is en niet de volledige foto dat rood wordt maar dat is het ook."
32,2,5,5,5,known,"Van boxy design naar platter design; indrukwekkend hoe dit veranderd. Eerste lijkt op nissan gtr r32, derde heeft duidelijk bmw trekken maar lichten zijn absoluut niet bmw en eerder subaru"
32,3,4,4,2,computer,"velgen veranderen tussen foto maar kleur soms ook, laatste doet vermoeden dat het computer is. Wel indrukwekkend als het computer is, maar niet zo creatief aangezien het maar gewoon velgen zijn."
32,4,3,5,4,human,"de autos zijn duidelijk op elkaar gebasseerd maar worden verlaagd en sportiever gemaakt, heb het gevoel dat er soms verschillende voorlichten zijn links en rechts."
